DE Ref,Name,Phase,District,District Inspector
3010572,Carrowreagh Primary School ,Primary,N5,Ann Woods
3010594,Garryduff Primary School ,Primary,N2,Gillian McEwen
3010631,Ballyclare Primary School ,Primary,N2,Gillian McEwen
3010642,Parkgate Primary School ,Primary,N3,Gearoid Rafferty
3010646,Olderfleet Primary School ,Primary,N4,Mark Keown
3010696,Woodburn Primary School ,Primary,N4,Mark Keown
3010714,Buick Memorial Primary School ,Primary,N2,Gillian McEwen
3010726,Dunseverick Primary School ,Primary,N1,John McCusker
3010741,Creavery Primary School ,Primary,N5,Ann Woods
3010745,Loanends Primary School ,Primary,N3,Gearoid Rafferty
3010754,Doagh Primary School ,Primary,N3,Gearoid Rafferty
3010779,Thompson Primary School ,Primary,N3,Gearoid Rafferty
3010780,Kirkinriola Primary School (JMC)*,Primary,N2,John McCusker
3010781,Harryville Primary School ,Primary,N2,Gillian McEwen
3010785,Eden Primary School ,Primary,N4,Mark Keown
3010787,Lislagan Primary School ,Primary,N5,Ann Woods
3010794,Gracehill Primary School ,Primary,N2,Gillian McEwen
3010795,Landhead Primary School ,Primary,N5,Ann Woods
3010796,Eden Primary School ,Primary,N2,Gillian McEwen
3010802,Ballynure Primary School ,Primary,N3,Gearoid Rafferty
3010804,Straidbilly Primary School ,Primary,N5,Ann Woods
3010808,Glynn Primary School ,Primary,N4,Mark Keown
3010809,Ballycarry Primary School ,Primary,N4,Mark Keown
3010816,Randalstown Central Primary School ,Primary,N3,Gearoid Rafferty
3010817,Greenisland Primary School ,Primary,N4,Mark Keown
3010818,Moorfields Primary School ,Primary,N2,Gillian McEwen
3010822,Groggan Primary School ,Primary,N5,Ann Woods
3010825,Carnaghts Primary School ,Primary,N5,Ann Woods
3010826,The Diamond Primary School ,Primary,N2,Gillian McEwen
3010827,Whitehouse Primary School ,Primary,N4,Mark Keown
3010828,Kilbride Primary School ,Primary,N3,Gearoid Rafferty
3010829,Antrim Primary School ,Primary,N5,Ann Woods
3010834,Clough Primary School (JMC)*,Primary,N2,John McCusker
3010835,Kells & Connor Primary School ,Primary,N2,Gillian McEwen
3010842,The Wm Pinkerton Memorial Primary School ,Primary,N5,Ann Woods
3010846,Whiteabbey Primary School ,Primary,N4,Mark Keown
3010847,Portrush Primary School ,Primary,N1,John McCusker
3010860,Sunnylands Primary School ,Primary,N4,Mark Keown
3010862,Abbots Cross Primary School ,Primary,N4,Mark Keown
3010870,Moyle Primary School ,Primary,N4,Mark Keown
3010873,Bushmills Primary School ,Primary,N1,John McCusker
3010874,Whitehead Primary School ,Primary,N4,Mark Keown
3010875,Ballymena Primary School ,Primary,N2,Gillian McEwen
3010878,Kilmoyle Primary School ,Primary,N5,Ann Woods
3010880,King's Park Primary School ,Primary,N4,Mark Keown
